Timestamp,Human readable date,a4cf12c65fb8_flowrate,a4cf12c65fb8_litros,a4cf12c65fb8_mililitros,a4cf12c65fb8_segundos,context_a4cf12c65fb8_flowrate,context_a4cf12c65fb8_litros,context_a4cf12c65fb8_mililitros,context_a4cf12c65fb8_segundos,created_at_a4cf12c65fb8_flowrate,created_at_a4cf12c65fb8_litros,created_at_a4cf12c65fb8_mililitros,created_at_a4cf12c65fb8_segundos
1641566842912,2022-01-07 08:47:22,0.0,0.0,0.0,1101238.0,{},{},{},{},1641566842912,1641566842912,1641566842912,1641566842912
1641566782929,2022-01-07 08:46:22,0.0,0.0,0.0,1101178.0,{},{},{},{},1641566782929,1641566782929,1641566782929,1641566782929
1641566723072,2022-01-07 08:45:23,0.0,0.0,0.0,1101118.0,{},{},{},{},1641566723072,1641566723072,1641566723072,1641566723072
1641566663010,2022-01-07 08:44:23,0.0,0.0,0.0,1101058.0,{},{},{},{},1641566663010,1641566663010,1641566663010,1641566663010
1641566603377,2022-01-07 08:43:23,0.0,0.0,0.0,1100998.0,{},{},{},{},1641566603377,1641566603377,1641566603377,1641566603377
1641566542915,2022-01-07 08:42:22,0.0,0.0,0.0,1100938.0,{},{},{},{},1641566542915,1641566542915,1641566542915,1641566542915
1641566485097,2022-01-07 08:41:25,0.0,0.0,0.0,1100878.0,{},{},{},{},1641566485097,1641566485097,1641566485097,1641566485097
1641566422988,2022-01-07 08:40:22,0.0,0.0,0.0,1100818.0,{},{},{},{},1641566422988,1641566422988,1641566422988,1641566422988
1641566363201,2022-01-07 08:39:23,0.0,0.0,0.0,1100758.0,{},{},{},{},1641566363201,1641566363201,1641566363201,1641566363201
1641566303039,2022-01-07 08:38:23,0.0,0.0,0.0,1100698.0,{},{},{},{},1641566303039,1641566303039,1641566303039,1641566303039
1641566243019,2022-01-07 08:37:23,0.0,0.0,0.0,1100638.0,{},{},{},{},1641566243019,1641566243019,1641566243019,1641566243019
1641566182946,2022-01-07 08:36:22,0.0,0.0,0.0,1100578.0,{},{},{},{},1641566182946,1641566182946,1641566182946,1641566182946
1641566122963,2022-01-07 08:35:22,0.0,0.0,0.0,1100518.0,{},{},{},{},1641566122963,1641566122963,1641566122963,1641566122963
1641566063084,2022-01-07 08:34:23,0.0,0.0,0.0,1100458.0,{},{},{},{},1641566063084,1641566063084,1641566063084,1641566063084
1641566002923,2022-01-07 08:33:22,0.0,0.0,0.0,1100398.0,{},{},{},{},1641566002923,1641566002923,1641566002923,1641566002923
1641565943217,2022-01-07 08:32:23,0.0,0.0,0.0,1100338.0,{},{},{},{},1641565943217,1641565943217,1641565943217,1641565943217
1641565883205,2022-01-07 08:31:23,0.0,0.0,0.0,1100278.0,{},{},{},{},1641565883205,1641565883205,1641565883205,1641565883205
1641565822910,2022-01-07 08:30:22,0.0,0.0,0.0,1100218.0,{},{},{},{},1641565822910,1641565822910,1641565822910,1641565822910
1641565763261,2022-01-07 08:29:23,0.0,0.0,0.0,1100158.0,{},{},{},{},1641565763261,1641565763261,1641565763261,1641565763261
1641565702995,2022-01-07 08:28:22,0.0,0.0,0.0,1100098.0,{},{},{},{},1641565702995,1641565702995,1641565702995,1641565702995
1641565645086,2022-01-07 08:27:25,0.0,0.0,0.0,1100038.0,{},{},{},{},1641565645086,1641565645086,1641565645086,1641565645086
1641565582999,2022-01-07 08:26:22,0.0,0.0,0.0,1099978.0,{},{},{},{},1641565582999,1641565582999,1641565582999,1641565582999
1641565523223,2022-01-07 08:25:23,0.0,0.0,0.0,1099918.0,{},{},{},{},1641565523223,1641565523223,1641565523223,1641565523223
1641565462964,2022-01-07 08:24:22,0.0,0.0,0.0,1099858.0,{},{},{},{},1641565462964,1641565462964,1641565462964,1641565462964
1641565402922,2022-01-07 08:23:22,0.0,0.0,0.0,1099798.0,{},{},{},{},1641565402922,1641565402922,1641565402922,1641565402922
1641565342954,2022-01-07 08:22:22,0.0,0.0,0.0,1099738.0,{},{},{},{},1641565342954,1641565342954,1641565342954,1641565342954
1641565282894,2022-01-07 08:21:22,0.0,0.0,0.0,1099678.0,{},{},{},{},1641565282894,1641565282894,1641565282894,1641565282894
1641565222898,2022-01-07 08:20:22,0.0,0.0,0.0,1099618.0,{},{},{},{},1641565222898,1641565222898,1641565222898,1641565222898
1641565162922,2022-01-07 08:19:22,0.0,0.0,0.0,1099558.0,{},{},{},{},1641565162922,1641565162922,1641565162922,1641565162922
1641565102891,2022-01-07 08:18:22,0.0,0.0,0.0,1099498.0,{},{},{},{},1641565102891,1641565102891,1641565102891,1641565102891
1641565043252,2022-01-07 08:17:23,0.0,0.0,0.0,1099438.0,{},{},{},{},1641565043252,1641565043252,1641565043252,1641565043252
1641564982942,2022-01-07 08:16:22,0.0,0.0,0.0,1099378.0,{},{},{},{},1641564982942,1641564982942,1641564982942,1641564982942
1641564923248,2022-01-07 08:15:23,0.0,0.0,0.0,1099318.0,{},{},{},{},1641564923248,1641564923248,1641564923248,1641564923248
1641564863254,2022-01-07 08:14:23,0.0,0.0,0.0,1099258.0,{},{},{},{},1641564863254,1641564863254,1641564863254,1641564863254
1641564805192,2022-01-07 08:13:25,0.0,0.0,0.0,1099198.0,{},{},{},{},1641564805192,1641564805192,1641564805192,1641564805192
1641564743197,2022-01-07 08:12:23,0.0,0.0,0.0,1099138.0,{},{},{},{},1641564743197,1641564743197,1641564743197,1641564743197
1641564683064,2022-01-07 08:11:23,0.0,0.0,0.0,1099078.0,{},{},{},{},1641564683064,1641564683064,1641564683064,1641564683064
1641564623115,2022-01-07 08:10:23,0.0,0.0,0.0,1099018.0,{},{},{},{},1641564623115,1641564623115,1641564623115,1641564623115
1641564562917,2022-01-07 08:09:22,0.0,0.0,0.0,1098958.0,{},{},{},{},1641564562917,1641564562917,1641564562917,1641564562917
1641564502999,2022-01-07 08:08:22,0.0,0.0,0.0,1098898.0,{},{},{},{},1641564502999,1641564502999,1641564502999,1641564502999
1641564442916,2022-01-07 08:07:22,0.0,0.0,0.0,1098838.0,{},{},{},{},1641564442916,1641564442916,1641564442916,1641564442916
1641564383087,2022-01-07 08:06:23,0.0,0.0,0.0,1098778.0,{},{},{},{},1641564383087,1641564383087,1641564383087,1641564383087
1641564323281,2022-01-07 08:05:23,0.0,0.0,0.0,1098718.0,{},{},{},{},1641564323281,1641564323281,1641564323281,1641564323281
